Symbol;Name;MarketCap;IPOyear;Sector;industry
TLGT;Teligent, Inc.;$377.38M;n/a;Health Care;Major Pharmaceuticals
TELL;Tellurian Inc.;$1.76B;n/a;Energy;Oil & Gas Production
TENX;Tenax Therapeutics, Inc.;$11.03M;n/a;Health Care;Biotechnology: Commercial Physical & Biological Resarch
GLBL;TerraForm Global, Inc.;$869.93M;2015;Public Utilities;Electric Utilities: Central
TERP;TerraForm Power, Inc.;$1.84B;2014;Public Utilities;Electric Utilities: Central
TVIA;TerraVia Holdings, Inc.;$5.42M;2011;Basic Industries;Major Chemicals
TBNK;Territorial Bancorp Inc.;$295.21M;2009;Finance;Savings Institutions
TSRO;TESARO, Inc.;$6.93B;2012;Health Care;Major Pharmaceuticals
TESO;Tesco Corporation;$210.25M;n/a;Energy;Metal Fabrications
TSLA;Tesla, Inc. ;$58.63B;2010;Capital Goods;Auto Manufacturing
TESS;TESSCO Technologies Incorporated;$113.72M;1994;Consumer Non-Durables;Electronic Components
TTEK;Tetra Tech, Inc.;$2.37B;1991;Consumer Services;Military/Government/Technical
TTPH;Tetraphase Pharmaceuticals, Inc.;$232.16M;2013;Health Care;Major Pharmaceuticals
TCBI;Texas Capital Bancshares, Inc.;$3.97B;2003;Finance;Major Banks
TCBIL;Texas Capital Bancshares, Inc.;n/a;n/a;Finance;Major Banks
TCBIP;Texas Capital Bancshares, Inc.;$153.48M;n/a;Finance;Major Banks
TCBIW;Texas Capital Bancshares, Inc.;n/a;n/a;Finance;Major Banks
TXN;Texas Instruments Incorporated;$80.76B;n/a;Technology;Semiconductors
TXRH;Texas Roadhouse, Inc.;$3.43B;2004;Consumer Services;Restaurants
TFSL;TFS Financial Corporation;$4.42B;n/a;Finance;Savings Institutions
TGTX;TG Therapeutics, Inc.;$691.12M;n/a;Health Care;Major Pharmaceuticals
ABCO;The Advisory Board Company;$2.21B;2001;Consumer Services;Other Consumer Services
ANDE;The Andersons, Inc.;$965.6M;n/a;Consumer Services;Farming/Seeds/Milling
TBBK;The Bancorp, Inc.;$439.37M;n/a;Finance;Major Banks
BPRN;The Bank of Princeton;n/a;n/a;n/a;n/a
BONT;The Bon-Ton Stores, Inc.;$13.33M;1991;Consumer Services;Department/Specialty Retail Stores
CG;The Carlyle Group L.P.;$7.18B;2012;Finance;Investment Managers
CAKE;The Cheesecake Factory Incorporated;$2.16B;1992;Consumer Services;Restaurants
CHEF;The Chefs&#39;;;;
TCFC;The Community Financial Corporation;$167.71M;n/a;Finance;Major Banks
DSGX;The Descartes Systems Group Inc.;$2B;n/a;Technology;Computer Software: Prepackaged Software
DXYN;The Dixie Group, Inc.;$69.34M;n/a;Consumer Durables;Home Furnishings
ENSG;The Ensign Group, Inc.;$1.02B;2007;Health Care;Hospital/Nursing Management
XONE;The ExOne Company;$164.64M;2013;Capital Goods;Industrial Machinery/Components
FINL;The Finish Line, Inc.;$552.82M;1992;Consumer Services;Clothing/Shoe/Accessory Stores
FBMS;The First Bancshares, Inc.;$253.99M;n/a;Finance;Major Banks
FLIC;The First of Long Island Corporation;$677.92M;n/a;Finance;Major Banks
GT;The Goodyear Tire & Rubber Company;$7.86B;n/a;Consumer Durables;Automotive Aftermarket
HABT;The Habit Restaurants, Inc.;$347.39M;2014;Consumer Services;Restaurants
HCKT;The Hackett Group, Inc.;$464.31M;n/a;Consumer Services;Professional Services
HAIN;The Hain Celestial Group, Inc.;$4.48B;n/a;Consumer Non-Durables;Packaged Foods
FITS;The Health and Fitness ETF;$2.73M;n/a;n/a;n/a
CUBA;The Herzfeld Caribbean Basin Fund, Inc.;$45.01M;n/a;n/a;n/a
INTG;The Intergroup Corporation;$61.16M;n/a;Consumer Services;Building operators
JYNT;The Joint Corp.;$49.32M;2014;Miscellaneous;Multi-Sector Companies
KEYW;The KEYW Holding Corporation;$442.6M;2010;Technology;EDP Services
KHC;The Kraft Heinz Company;$105.52B;n/a;Consumer Non-Durables;Packaged Foods
OLD;The Long-Term Care ETF;$2.58M;n/a;n/a;n/a
MDCO;The Medicines Company;$2.63B;2000;Health Care;Major Pharmaceuticals
MEET;The Meet Group, Inc.;$301.7M;n/a;Consumer Services;Advertising
MIK;The Michaels Companies, Inc.;$3.8B;2014;Consumer Services;Recreational Products/Toys
MIDD;The Middleby Corporation;$7.38B;n/a;Technology;Industrial Machinery/Components
NAVG;The Navigators Group, Inc.;$1.67B;1986;Finance;Property-Casualty Insurers
SLIM;The Obesity ETF;$2.65M;n/a;n/a;n/a
STKS;The ONE Group Hospitality, Inc.;$49.02M;n/a;Consumer Services;Restaurants
ORG;The Organics ETF;n/a;n/a;n/a;n/a
PCLN;The Priceline Group Inc. ;$99.9B;1999;Miscellaneous;Business Services
PRSC;The Providence Service Corporation;$678.61M;2003;Consumer Services;Transportation Services
RMR;The RMR Group Inc.;$1.53B;n/a;Consumer Services;Professional Services
SMPL;The Simply Good Foods Company;$838.99M;n/a;Consumer Non-Durables;Packaged Foods
SMPLW;The Simply Good Foods Company;n/a;n/a;Consumer Non-Durables;Packaged Foods
SPNC;The Spectranetics Corporation;$1.69B;1992;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
TSG;The Stars Group Inc.;$2.6B;n/a;n/a;n/a
TTD;The Trade Desk, Inc.;$2.15B;2016;Technology;Computer Software: Programming, Data Processing
ULTI;The Ultimate Software Group, Inc.;$5.83B;1998;Technology;Computer Software: Prepackaged Software
YORW;The York Water Company;$446.97M;n/a;Public Utilities;Water Supply
NCTY;The9 Limited;$25.59M;2004;Miscellaneous;Business Services
TRPX;Therapix Biosciences Ltd.;$21.06M;2017;Health Care;Major Pharmaceuticals
TBPH;Theravance Biopharma, Inc.;$1.59B;n/a;Health Care;Major Pharmaceuticals
TST;TheStreet, Inc.;$29.6M;n/a;Consumer Services;Newspapers/Magazines
TCRD;THL Credit, Inc.;$328.27M;2010;n/a;n/a
TICC;TICC Capital Corp.;$339.25M;2003;n/a;n/a
TICCL;TICC Capital Corp.;n/a;n/a;n/a;n/a
TIG;TiGenix;$110.43B;2016;Health Care;Major Pharmaceuticals
TTS;Tile Shop Hldgs, Inc.;$777.85M;n/a;Consumer Services;Home Furnishings
TIL;Till Capital Ltd.;$13.42M;n/a;Finance;Property-Casualty Insurers
TSBK;Timberland Bancorp, Inc.;$200.63M;n/a;Finance;Banks
TNTR;Tintri, Inc.;$188.56M;2017;Technology;EDP Services
TIPT;Tiptree Inc.;$244.64M;n/a;Finance;Property-Casualty Insurers
TITN;Titan Machinery Inc.;$383.17M;2007;Consumer Services;Other Specialty Stores
TTNP;Titan Pharmaceuticals, Inc.;$40.29M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
TVTY;Tivity Health, Inc.;$1.53B;n/a;Health Care;Hospital/Nursing Management
TIVO;TiVo Corporation;$2.24B;n/a;Miscellaneous;Multi-Sector Companies
TMUS;T-Mobile US, Inc.;$53.62B;n/a;Public Utilities;Telecommunications Equipment
TMUSP;T-Mobile US, Inc.;n/a;n/a;Public Utilities;Telecommunications Equipment
TOCA;Tocagen Inc.;$211.94M;2017;Health Care;Major Pharmaceuticals
TNXP;Tonix Pharmaceuticals Holding Corp.;$27.62M;n/a;Health Care;Major Pharmaceuticals
TISA;Top Image Systems, Ltd.;$24.21M;1996;Technology;Computer peripheral equipment
TOPS;TOP Ships Inc.;$2.03M;n/a;Transportation;Marine Transportation
TORM          ;TOR Minerals International Inc;$27.09M;1988;Basic Industries;Major Chemicals
TRCH;Torchlight Energy Resources, Inc.;$80.9M;n/a;Energy;Oil & Gas Production
TSEM;Tower Semiconductor Ltd.;$2.34B;1994;Technology;Semiconductors
CLUB;Town Sports International Holdings, Inc.;$153.45M;2006;Consumer Services;Hotels/Resorts
TOWN;Towne Bank;$1.99B;n/a;n/a;n/a
TPIC;TPI Composites, Inc.;$642.35M;2016;Energy;Industrial Machinery/Components
TCON;TRACON Pharmaceuticals, Inc.;$36.54M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
TSCO;Tractor Supply Company;$7.33B;1994;Consumer Services;RETAIL: Building Materials
TWMC;Trans World Entertainment Corp.;$64.57M;n/a;Consumer Services;Consumer Electronics/Video Chains
TACT;TransAct Technologies Incorporated;$67.6M;1996;Technology;Computer peripheral equipment
TRNS;Transcat, Inc.;$92.67M;n/a;Capital Goods;Electrical Products
TGA;Transglobe Energy Corp;$92.42M;n/a;Energy;Oil & Gas Production
TA;TravelCenters of America LLC;$160.05M;n/a;Consumer Durables;Automotive Aftermarket
TANNI;TravelCenters of America LLC;n/a;n/a;Consumer Durables;Automotive Aftermarket
TANNL;TravelCenters of America LLC;n/a;n/a;Consumer Durables;Automotive Aftermarket
TANNZ;TravelCenters of America LLC;n/a;n/a;Consumer Durables;Automotive Aftermarket
TZOO;Travelzoo;$117.46M;n/a;Technology;EDP Services
TRVN;Trevena, Inc.;$141.67M;2014;Health Care;Major Pharmaceuticals
TCBK;TriCo Bancshares;$864.28M;n/a;Finance;Major Banks
TRIL;Trillium Therapeutics Inc.;$48.04M;n/a;Health Care;Major Pharmaceuticals
TRS;TriMas Corporation;$1.1B;2007;Capital Goods;Industrial Specialties
TRMB;Trimble Inc.;$9.55B;1990;Capital Goods;Industrial Machinery/Components
TRIB;Trinity Biotech plc;$135.83M;1992;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
TRIP;TripAdvisor, Inc.;$5.58B;n/a;Technology;Computer Software: Programming, Data Processing
TSC;TriState Capital Holdings, Inc.;$660.74M;2013;Finance;Major Banks
TBK;Triumph Bancorp, Inc.;$579.73M;2014;Finance;Major Banks
TRVG;trivago N.V.;$4.17B;2016;Technology;EDP Services
TRNC;tronc, Inc.;$412.85M;n/a;Consumer Services;Newspapers/Magazines
TROV;TrovaGene, Inc.;$24.83M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
TRUE;TrueCar, Inc.;$1.78B;2014;Technology;Computer Software: Programming, Data Processing
THST;Truett-Hurst, Inc.;$9.25M;2013;Consumer Non-Durables;Beverages (Production/Distribution)
TRUP;Trupanion, Inc.;$688.96M;n/a;Health Care;Medical Specialities
TRST;TrustCo Bank Corp NY;$768.12M;n/a;Finance;Major Banks
TRMK;Trustmark Corporation;$2.15B;n/a;Finance;Major Banks
TSRI;TSR, Inc.;$8.53M;n/a;Technology;EDP Services
TTMI;TTM Technologies, Inc.;$1.36B;2000;Technology;Electrical Products
TCX;Tucows Inc.;$555.58M;n/a;Technology;EDP Services
TUES;Tuesday Morning Corp.;$83.44M;1999;Consumer Services;Department/Specialty Retail Stores
TOUR;Tuniu Corporation;$1.01B;2014;Consumer Services;Transportation Services
HEAR;Turtle Beach Corporation;$33M;n/a;Consumer Durables;Telecommunications Equipment
TUTI;Tuttle Tactical Management Multi-Strategy Income ETF;$10.31M;n/a;n/a;n/a
TUTT;Tuttle Tactical Management U.S. Core ETF;$52.49M;n/a;n/a;n/a
FOX;Twenty-First Century Fox, Inc.;$51.94B;n/a;Consumer Services;Television Services
FOXA;Twenty-First Century Fox, Inc.;$34.75B;n/a;Consumer Services;Television Services
TWIN;Twin Disc, Incorporated;$201.24M;n/a;Technology;Industrial Machinery/Components
TRCB;Two River Bancorp;$153.15M;n/a;Finance;Major Banks
TYME;Tyme Technologies, Inc.;$399.27M;n/a;Health Care;Major Pharmaceuticals
USCR;U S Concrete, Inc.;$1.28B;n/a;Capital Goods;Building Materials
PRTS;U.S. Auto Parts Network, Inc.;$94.19M;2007;Consumer Services;Other Specialty Stores
USEG;U.S. Energy Corp.;$4.48M;n/a;Energy;Oil & Gas Production
