Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,;
ALXN,Alexion Pharmaceuticals, Inc.,136.64,$30.5B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,;
ALCO,Alico, Inc.,30.45,$252.42M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,;
ALGN,Align Technology, Inc.,169.3,$13.6B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,;
ALIM,Alimera Sciences, Inc.,1.57,$101.9M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,;
ALJJ,ALJ Regional Holdings, Inc.,3.33,$120.02M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj,;
ALKS,Alkermes plc,53.77,$8.26B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,;
ABTX,Allegiance Bancshares, Inc.,37.05,$485.32M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,;
ALGT,Allegiant Travel Company,131.45,$2.11B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,;
AIQ,Alliance HealthCare Services, Inc.,13.15,$142.43M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,;
AHGP,Alliance Holdings GP, L.P.,28.2,$1.69B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,;
AMMA,Alliance MMA, Inc.,1.07,$10.06M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma,;
ARLP,Alliance Resource Partners, L.P.,19.35,$2.53B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,;
AHPI,Allied Healthcare Products, Inc.,2.16,$8.67M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,;
AMOT,Allied Motion Technologies, Inc.,25.19,$238.58M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,;
ALQA,Alliqua BioMedical, Inc.,0.35,$16.09M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,;
ALLT,Allot Communications Ltd.,4.96,$164.25M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,;
MDRX,Allscripts Healthcare Solutions, Inc.,13.12,$2.38B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,;
AFAM,Almost Family Inc,47.8,$666.31M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,;
ALNY,Alnylam Pharmaceuticals, Inc.,82.44,$7.11B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,;
AOSL,Alpha and Omega Semiconductor Limited,16.47,$391.83M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,;
GOOG,Alphabet Inc.,927.96,$642.96B,2004,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/goog,;
GOOGL,Alphabet Inc.,945.79,$655.32B,n/a,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/googl,;
SMCP,AlphaMark Actively Managed Small Cap ETF,24.16,$26.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,;
ATEC,Alphatec Holdings, Inc.,1.71,$18.57M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,;
ALPN,Alpine Immune Sciences, Inc.,9.2,$36.01M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn,;
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,27.96,$6.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin,;
AABA,Altaba Inc.,58.51,$52.35B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,;
ALT,Altimmune, Inc.,2.28,$1.57M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt,;
ASPS,Altisource Portfolio Solutions S.A.,23.35,$430.4M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,;
AIMC,Altra Industrial Motion Corp.,44.2,$1.3B,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,;
AMAG,AMAG Pharmaceuticals, Inc.,20.1,$704.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,;
AMRN,Amarin Corporation plc,3.67,$999.31M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,;
AMRK,A-Mark Precious Metals, Inc.,15.44,$108.57M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,;
AMZN,Amazon.com, Inc.,987.58,$474.41B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,;
AMBC,Ambac Financial Group, Inc.,19.72,$891.91M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,;
AMBCW,Ambac Financial Group, Inc.,9.71,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,;
AMBA,Ambarella, Inc.,50.9,$1.71B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,;
AMCX,AMC Networks Inc.,62.26,$4.15B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,;
DOX,Amdocs Limited,66.27,$9.71B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,;
AMDA,Amedica Corporation,0.36,$13.06M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,;
AMED,Amedisys Inc,48.56,$1.64B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,;
UHAL,Amerco,393.62,$7.72B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,;
ATAX,America First Multifamily Investors, L.P.,6.05,$364.53M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,;
AMOV,America Movil, S.A.B. de C.V.,17.63,$58.18B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,;
AAL,American Airlines Group, Inc.,50.8,$24.74B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,;
ACSF,American Capital Senior Floating, Ltd.,12.6,$126M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,;
AETI,American Electric Technologies, Inc.,1.9,$16.13M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,;
AMNB,American National Bankshares, Inc.,38.2,$330.16M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,;
ANAT,American National Insurance Company,122.78,$3.31B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,;
AOBC,American Outdoor Brands Corporation,19.69,$1.06B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc,;
APEI,American Public Education, Inc.,22.2,$360.39M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,;
ARII,American Railcar Industries, Inc.,36.5,$696.56M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,;
AMRB,American River Bankshares,13.91,$88.44M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,;
AMSWA,American Software, Inc.,9.54,$283.54M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,;
AMSC,American Superconductor Corporation,3.13,$60.07M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,;
AMWD,American Woodmark Corporation,96.9,$1.58B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,;
CRMT,America&#39;s Car-Mart, Inc.,38.15,$288.66M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,
ABCB,Ameris Bancorp,46.25,$1.72B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,;
AMSF,AMERISAFE, Inc.,57.65,$1.11B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,;
ASRV,AmeriServ Financial Inc.,4,$73.85M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,;
ASRVP,AmeriServ Financial Inc.,28.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,;
ATLO,Ames National Corporation,28.8,$268.15M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,;
AMGN,Amgen Inc.,173.85,$126.85B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,;
FOLD,Amicus Therapeutics, Inc.,13.23,$2.17B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,;
AMKR,Amkor Technology, Inc.,8.77,$2.1B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,;
AMPH,Amphastar Pharmaceuticals, Inc.,15.98,$730.89M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,;
IBUY,Amplify Online Retail ETF,37.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy,;
ASYS,Amtech Systems, Inc.,8.97,$118.41M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,;
AFSI,AmTrust Financial Services, Inc.,15.87,$3.1B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,;
AMRS,Amyris, Inc.,3.56,$70.89M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,;
ADI,Analog Devices, Inc.,77.78,$28.55B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,;
ALOG,Analogic Corporation,70.7,$881.67M,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,;
ANAB,AnaptysBio, Inc.,21.97,$445.32M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,;
AVXL,Anavex Life Sciences Corp.,3.99,$165.09M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl,;
ANCB,Anchor Bancorp,25.2,$63.12M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,;
